,codigo_gs1,pais
0,002,US
1,019,US
2,030,US
3,039,US
4,060,US
5,139,US
6,300,França
7,379,França
8,380,Bulgária
9,383,Eslovénia
10,385,Croácia
11,387,BIH (Bósnia e Herzegovina)
12,400,Alemanha
13,440,Alemanha
14,450,Japão
15,459,Japão
16,460,Rússia
17,469,Rússia
18,470,Quirguistão
19,471,Taiwan
20,474,Estônia
21,475,Letônia
22,476,Azerbaijão
23,477,Lituânia
24,478,Usbequistão
25,479,Sri Lanka
26,480,Filipinas
27,481,Bielorrússia
28,482,Ucrânia
29,484,Moldávia
30,485,Armênia
31,486,Geórgia
32,487,Cazaquistão
33,489,Hong Kong
34,500,Reino Unido
35,509,Reino Unido
36,520,Grécia
37,528,Líbano
38,529,Chipre
39,530,Albânia
40,531,República da Macedônia
41,535,Malta
42,539,República da Irlanda
43,540,Bélgica &amp; Luxemburgo
44,549,Bélgica &amp; Luxemburgo
45,560,Portugal
46,569,Islândia
47,570,Dinamarca
48,579,Dinamarca
49,590,Polónia
50,594,Romênia
51,599,Hungria
52,600,África do Sul
53,601,África do Sul
54,603,Gana
55,608,Bahrein
56,609,Ilhas Maurício
57,611,Marrocos
58,613,Argélia
59,616,Quênia
60,618,Costa do Marfim
61,619,Tunísia
62,621,Síria
63,622,Egito
64,624,Líbia
65,625,Jordânia
66,626,Irã
67,627,Kuwait
68,628,Arábia Saudita
69,629,Emirados Árabes Unidos
70,640,Finlândia
71,649,Finlândia
72,690,China
73,699,China
74,700,Noruega
75,709,Noruega
76,729,Israel
77,730,Suécia
78,739,Suécia
79,740,Guatemala
80,741,El Salvador
81,742,Honduras
82,743,Nicarágua
83,744,Costa Rica
84,745,Panamá
85,746,República Dominicana
86,750,México
87,754,Canadá
88,755,Canadá
89,759,Venezuela
90,760,Suíça
91,769,Suíça
92,770,Colômbia
93,773,Uruguai
94,775,Peru
95,777,Bolívia
96,779,Argentina
97,780,Chile
98,784,Paraguai
99,786,Equador
100,789,Brasil
101,790,Brasil
102,800,Itália
103,839,Itália
104,840,Espanha
105,849,Espanha
106,850,Cuba
107,858,Eslováquia
108,859,República Checa
109,860,Sérvia e Montenegro
110,865,Mongólia
111,867,Coreia do Norte
112,869,Turquia
113,870,Holanda
114,879,Holanda
115,880,Coreia do Sul
116,884,Cambodja
117,885,Tailândia
118,888,Singapura
119,890,Índia
120,893,Vietnam
121,899,Indonésia
122,900,Áustria
123,919,Áustria
124,930,Austrália
125,939,Austrália
126,940,Nova Zelândia
127,949,Nova Zelândia
128,955,Malásia
129,958,Macau
